Name,Sex,Sport,Team,Value Column Name,Value
Ryan Steven Lochte,All,All,All,Gold Medals,
Ryan Steven Lochte,All,All,All,Silver Medals,
Ryan Steven Lochte,All,All,All,Bronze Medals,
Ryan Steven Lochte,M,All,All,Medals,
Ryan Steven Lochte,M,All,All,Gold Medals,
Ryan Steven Lochte,M,All,All,Silver Medals,
Ryan Steven Lochte,M,All,All,Bronze Medals,
Ryan Steven Lochte,M,Swimming,All,Medals,
Ryan Steven Lochte,M,Swimming,All,Gold Medals,
Ryan Steven Lochte,M,Swimming,All,Silver Medals,
Ryan Steven Lochte,M,Swimming,All,Bronze Medals,
Ryan Steven Lochte,M,Swimming,United States,Medals,12
Ryan Steven Lochte,M,Swimming,United States,Gold Medals,6
Ryan Steven Lochte,M,Swimming,United States,Silver Medals,3
Ryan Steven Lochte,M,Swimming,United States,Bronze Medals,3
Sawao Kato,All,All,All,Medals,
Sawao Kato,All,All,All,Gold Medals,
Sawao Kato,All,All,All,Silver Medals,
Sawao Kato,All,All,All,Bronze Medals,
Sawao Kato,M,All,All,Medals,
Sawao Kato,M,All,All,Gold Medals,
Sawao Kato,M,All,All,Silver Medals,
Sawao Kato,M,All,All,Bronze Medals,
Sawao Kato,M,Gymnastics,All,Medals,
Sawao Kato,M,Gymnastics,All,Gold Medals,
Sawao Kato,M,Gymnastics,All,Silver Medals,
Sawao Kato,M,Gymnastics,All,Bronze Medals,
Sawao Kato,M,Gymnastics,Japan,Medals,12
Sawao Kato,M,Gymnastics,Japan,Gold Medals,8
Sawao Kato,M,Gymnastics,Japan,Silver Medals,3
Sawao Kato,M,Gymnastics,Japan,Bronze Medals,1
Carl Townsend Osburn,All,All,All,Medals,
Carl Townsend Osburn,All,All,All,Gold Medals,
Carl Townsend Osburn,All,All,All,Silver Medals,
Carl Townsend Osburn,All,All,All,Bronze Medals,
Carl Townsend Osburn,M,All,All,Medals,
Carl Townsend Osburn,M,All,All,Gold Medals,
Carl Townsend Osburn,M,All,All,Silver Medals,
Carl Townsend Osburn,M,All,All,Bronze Medals,
Carl Townsend Osburn,M,Shooting,All,Medals,
Carl Townsend Osburn,M,Shooting,All,Gold Medals,
Carl Townsend Osburn,M,Shooting,All,Silver Medals,
Carl Townsend Osburn,M,Shooting,All,Bronze Medals,
Carl Townsend Osburn,M,Shooting,United States,Medals,11
Carl Townsend Osburn,M,Shooting,United States,Gold Medals,5
Carl Townsend Osburn,M,Shooting,United States,Silver Medals,4
Carl Townsend Osburn,M,Shooting,United States,Bronze Medals,2
Mark Andrew Spitz,All,All,All,Medals,
Mark Andrew Spitz,All,All,All,Gold Medals,
Mark Andrew Spitz,All,All,All,Silver Medals,
Mark Andrew Spitz,All,All,All,Bronze Medals,
Mark Andrew Spitz,M,All,All,Medals,
Mark Andrew Spitz,M,All,All,Gold Medals,
Mark Andrew Spitz,M,All,All,Silver Medals,
Mark Andrew Spitz,M,All,All,Bronze Medals,
Mark Andrew Spitz,M,Swimming,All,Medals,
Mark Andrew Spitz,M,Swimming,All,Gold Medals,
Mark Andrew Spitz,M,Swimming,All,Silver Medals,
Mark Andrew Spitz,M,Swimming,All,Bronze Medals,
Mark Andrew Spitz,M,Swimming,United States,Medals,11
Mark Andrew Spitz,M,Swimming,United States,Gold Medals,9
Mark Andrew Spitz,M,Swimming,United States,Silver Medals,1
Mark Andrew Spitz,M,Swimming,United States,Bronze Medals,1
