Index,Description,Group 1,Value Column Name,Value,
18,All,All,Revenues_2020,,
18,All,All,Revenues_2019,,
18,All,All,Revenues_V%,,
18,All,Revenues,Segment profit (loss)_2020,,
18,All,Revenues,Segment profit (loss)_2019,,
18,All,Revenues,Segment profit (loss)_V%,,
18,All,Profit margin,Profit Margin_2020,,
18,All,Profit margin,Profit Margin_2019,,
18,All,Profit margin,Profit Margin_V,,
18,Less: acquisitions,All,Revenues_2020,55,
18,Less: acquisitions,All,Revenues_2019,21,
18,Less: acquisitions,All,Revenues_V%,,
18,Less: acquisitions,Revenues,Segment profit (loss)_2020,-13,
18,Less: acquisitions,Revenues,Segment profit (loss)_2019,-4,
18,Less: acquisitions,Revenues,Segment profit (loss)_V%,,
18,Less: acquisitions,Profit margin,Profit Margin_2020,,
18,Less: acquisitions,Profit margin,Profit Margin_2019,,
18,Less: acquisitions,Profit margin,Profit Margin_V,,
19,All,All,Revenues_2020,,
19,All,All,Revenues_2019,,
19,All,All,Revenues_V%,,
19,All,Revenues,Segment profit (loss)_2020,,
19,All,Revenues,Segment profit (loss)_2019,,
19,All,Revenues,Segment profit (loss)_V%,,
19,All,Profit margin,Profit Margin_2020,,
19,All,Profit margin,Profit Margin_2019,,
19,All,Profit margin,Profit Margin_V,,
19,Less: business dispositions,All,Revenues_2020,21,
19,Less: business dispositions,All,Revenues_2019,2603,
19,Less: business dispositions,All,Revenues_V%,,
19,Less: business dispositions,Revenues,Segment profit (loss)_2020,-2,
19,Less: business dispositions,Revenues,Segment profit (loss)_2019,1111,
19,Less: business dispositions,Revenues,Segment profit (loss)_V%,,
19,Less: business dispositions,Profit margin,Profit Margin_2020,,
19,Less: business dispositions,Profit margin,Profit Margin_2019,,
19,Less: business dispositions,Profit margin,Profit Margin_V,,
20,All,All,Revenues_2020,,
20,All,All,Revenues_2019,,
20,All,All,Revenues_V%,,
20,All,Revenues,Segment profit (loss)_2020,,
20,All,Revenues,Segment profit (loss)_2019,,
20,All,Revenues,Segment profit (loss)_V%,,
20,All,Profit margin,Profit Margin_2020,,
20,All,Profit margin,Profit Margin_2019,,
20,All,Profit margin,Profit Margin_V,,
20,Less: foreign currency effect,All,Revenues_2020,-46,
20,Less: foreign currency effect,All,Revenues_2019,0,
20,Less: foreign currency effect,All,Revenues_V%,,
20,Less: foreign currency effect,Revenues,Segment profit (loss)_2020,-6,
20,Less: foreign currency effect,Revenues,Segment profit (loss)_2019,0,
20,Less: foreign currency effect,Revenues,Segment profit (loss)_V%,,
20,Less: foreign currency effect,Profit margin,Profit Margin_2020,,
20,Less: foreign currency effect,Profit margin,Profit Margin_2019,,
20,Less: foreign currency effect,Profit margin,Profit Margin_V,,
21,All,All,Revenues_2020,,
21,All,All,Revenues_2019,,
21,All,All,Revenues_V%,,
21,All,Revenues,Segment profit (loss)_2020,,
21,All,Revenues,Segment profit (loss)_2019,,
21,All,Revenues,Segment profit (loss)_V%,,
21,All,Profit margin,Profit Margin_2020,,
21,All,Profit margin,Profit Margin_2019,,
21,All,Profit margin,Profit Margin_V,,
21,Healthcare organic (Non-GAAP),All,Revenues_2020,17979,
21,Healthcare organic (Non-GAAP),All,Revenues_2019,17318,
21,Healthcare organic (Non-GAAP),All,Revenues_V%,0.04,
21,Healthcare organic (Non-GAAP),Revenues,Segment profit (loss)_2020,3081,
21,Healthcare organic (Non-GAAP),Revenues,Segment profit (loss)_2019,2630,
21,Healthcare organic (Non-GAAP),Revenues,Segment profit (loss)_V%,0.17,
21,Healthcare organic (Non-GAAP),Profit margin,Profit Margin_2020,0.171,
21,Healthcare organic (Non-GAAP),Profit margin,Profit Margin_2019,0.152,
21,Healthcare organic (Non-GAAP),Profit margin,Profit Margin_V,1.9,
22,All,All,Revenues_2020,,
22,All,All,Revenues_2019,,
22,All,All,Revenues_V%,,
22,All,Revenues,Segment profit (loss)_2020,,
22,All,Revenues,Segment profit (loss)_2019,,
22,All,Revenues,Segment profit (loss)_V%,,
22,All,Profit margin,Profit Margin_2020,,
22,All,Profit margin,Profit Margin_2019,,
22,All,Profit margin,Profit Margin_V,,
22,Less: BioPharma organic,All,Revenues_2020,,
22,Less: BioPharma organic,All,Revenues_2019,,
22,Less: BioPharma organic,All,Revenues_V%,,
22,Less: BioPharma organic,Revenues,Segment profit (loss)_2020,,
22,Less: BioPharma organic,Revenues,Segment profit (loss)_2019,,
22,Less: BioPharma organic,Revenues,Segment profit (loss)_V%,,
22,Less: BioPharma organic,Profit margin,Profit Margin_2020,,
22,Less: BioPharma organic,Profit margin,Profit Margin_2019,,
22,Less: BioPharma organic,Profit margin,Profit Margin_V,,
23,All,All,Revenues_2020,,
23,All,All,Revenues_2019,,
23,All,All,Revenues_V%,,
23,All,Revenues,Segment profit (loss)_2020,,
23,All,Revenues,Segment profit (loss)_2019,,
23,All,Revenues,Segment profit (loss)_V%,,
23,All,Profit margin,Profit Margin_2020,,
23,All,Profit margin,Profit Margin_2019,,
23,All,Profit margin,Profit Margin_V,,
23,(Non-GAAP),All,Revenues_2020,839,
23,(Non-GAAP),All,Revenues_2019,762,
23,(Non-GAAP),All,Revenues_V%,,
23,(Non-GAAP),Revenues,Segment profit (loss)_2020,380,
23,(Non-GAAP),Revenues,Segment profit (loss)_2019,311,
23,(Non-GAAP),Revenues,Segment profit (loss)_V%,,
23,(Non-GAAP),Profit margin,Profit Margin_2020,,
23,(Non-GAAP),Profit margin,Profit Margin_2019,,
23,(Non-GAAP),Profit margin,Profit Margin_V,,
24,All,All,Revenues_2020,,
24,All,All,Revenues_2019,,
24,All,All,Revenues_V%,,
24,All,Revenues,Segment profit (loss)_2020,,
24,All,Revenues,Segment profit (loss)_2019,,
24,All,Revenues,Segment profit (loss)_V%,,
24,All,Profit margin,Profit Margin_2020,,
24,All,Profit margin,Profit Margin_2019,,
24,All,Profit margin,Profit Margin_V,,
24,Healthcare excluding BioPharma,All,Revenues_2020,,
24,Healthcare excluding BioPharma,All,Revenues_2019,,
24,Healthcare excluding BioPharma,All,Revenues_V%,,
24,Healthcare excluding BioPharma,Revenues,Segment profit (loss)_2020,,
24,Healthcare excluding BioPharma,Revenues,Segment profit (loss)_2019,,
24,Healthcare excluding BioPharma,Revenues,Segment profit (loss)_V%,,
24,Healthcare excluding BioPharma,Profit margin,Profit Margin_2020,,
24,Healthcare excluding BioPharma,Profit margin,Profit Margin_2019,,
24,Healthcare excluding BioPharma,Profit margin,Profit Margin_V,,
25,All,All,Revenues_2020,,
25,All,All,Revenues_2019,,
25,All,All,Revenues_V%,,
25,All,Revenues,Segment profit (loss)_2020,,
25,All,Revenues,Segment profit (loss)_2019,,
25,All,Revenues,Segment profit (loss)_V%,,
25,All,Profit margin,Profit Margin_2020,,
25,All,Profit margin,Profit Margin_2019,,
25,All,Profit margin,Profit Margin_V,,
25,organic (Non-GAAP),All,Revenues_2020,17140,
25,organic (Non-GAAP),All,Revenues_2019,16557,
25,organic (Non-GAAP),All,Revenues_V%,0.04,
25,organic (Non-GAAP),Revenues,Segment profit (loss)_2020,2701,
25,organic (Non-GAAP),Revenues,Segment profit (loss)_2019,2319,
25,organic (Non-GAAP),Revenues,Segment profit (loss)_V%,0.16,
25,organic (Non-GAAP),Profit margin,Profit Margin_2020,0.158,
25,organic (Non-GAAP),Profit margin,Profit Margin_2019,0.14,
25,organic (Non-GAAP),Profit margin,Profit Margin_V,1.8,
