GEO (Labels),Level ,Value Column Name,Value
Region Sumadije i Zapadne Srbije,Levels 3 - 4,Unemployment,10.5
Region Sumadije i Zapadne Srbije,Levels 5 - 8,Unemployment,13
Helsinki-Uusimaa,All Levels,Unemployment,7.2
Helsinki-Uusimaa,Levels 0-2,Unemployment,19.5
Helsinki-Uusimaa,Levels 3 - 4,Unemployment,8.4
Helsinki-Uusimaa,Levels 5 - 8,Unemployment,4.1
"Zonguldak, Karabük, Bartin",All Levels,Unemployment,9.3
"Zonguldak, Karabük, Bartin",Levels 0-2,Unemployment,7.5
"Zonguldak, Karabük, Bartin",Levels 3 - 4,Unemployment,12.8
"Zonguldak, Karabük, Bartin",Levels 5 - 8,Unemployment,9.6
Grand Est,All Levels,Unemployment,8.8
Grand Est,Levels 0-2,Unemployment,15.5
Grand Est,Levels 3 - 4,Unemployment,9.1
Grand Est,Levels 5 - 8,Unemployment,5.7
Poitou-Charentes,All Levels,Unemployment,8.6
Poitou-Charentes,Levels 0-2,Unemployment,16.7
Poitou-Charentes,Levels 3 - 4,Unemployment,9.9
Poitou-Charentes,Levels 5 - 8,Unemployment,3.9
"Bursa, Eskisehir, Bilecik",All Levels,Unemployment,9.7
"Bursa, Eskisehir, Bilecik",Levels 0-2,Unemployment,9.4
"Bursa, Eskisehir, Bilecik",Levels 3 - 4,Unemployment,11.1
"Bursa, Eskisehir, Bilecik",Levels 5 - 8,Unemployment,8.7
Norra Mellansverige,All Levels,Unemployment,7.9
Norra Mellansverige,Levels 0-2,Unemployment,20.1
Norra Mellansverige,Levels 3 - 4,Unemployment,6.3
Norra Mellansverige,Levels 5 - 8,Unemployment,4.4
Prov. Hainaut,All Levels,Unemployment,8.3
Prov. Hainaut,Levels 0-2,Unemployment,17.6
Prov. Hainaut,Levels 3 - 4,Unemployment,9.5
