Column2,Year,Value Column Name,Value
SACRAMENTO KINGS,2014,Lebron,
SACRAMENTO KINGS,2015,Lebron,19
SACRAMENTO KINGS,2016,Lebron,46
SACRAMENTO KINGS,2017,Lebron,88
SACRAMENTO KINGS,2018,Lebron,25
SACRAMENTO KINGS,2019,Lebron,58
SACRAMENTO KINGS,2020,Lebron,32
SAN ANTONIO SPURS,All,Lebron,950
SAN ANTONIO SPURS,2003,Lebron,
SAN ANTONIO SPURS,2004,Lebron,73
SAN ANTONIO SPURS,2005,Lebron,40
SAN ANTONIO SPURS,2006,Lebron,79
SAN ANTONIO SPURS,2007,Lebron,19
SAN ANTONIO SPURS,2008,Lebron,66
SAN ANTONIO SPURS,2009,Lebron,68
SAN ANTONIO SPURS,2010,Lebron,27
SAN ANTONIO SPURS,2011,Lebron,47
SAN ANTONIO SPURS,2012,Lebron,56
SAN ANTONIO SPURS,2013,Lebron,
SAN ANTONIO SPURS,2014,Lebron,52
SAN ANTONIO SPURS,2015,Lebron,31
SAN ANTONIO SPURS,2016,Lebron,51
SAN ANTONIO SPURS,2017,Lebron,46
SAN ANTONIO SPURS,2018,Lebron,205
SAN ANTONIO SPURS,2019,Lebron,54
SAN ANTONIO SPURS,2020,Lebron,36
SEATTLE SUPERSONICS,All,Lebron,233
SEATTLE SUPERSONICS,2003,Lebron,
SEATTLE SUPERSONICS,2004,Lebron,27
