location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"Russia","2020","December","% death","0.01970846042628061","","Visual Measure",""
"Russia","2021","January","new_cases","681001","","Native",""
"Russia","2021","January","new_deaths","15758","","Native",""
"Russia","2021","January","% death","0.023139466755555425","","Visual Measure",""
"Russia","2021","February","new_cases","390052","","Native",""
"Russia","2021","February","new_deaths","12671","","Native",""
"Russia","2021","February","% death","0.03248541220145006","","Visual Measure",""
"Russia","2021","March","new_cases","295834","","Native",""
"Russia","2021","March","new_deaths","12519","","Native",""
"Russia","2021","March","% death","0.04231765111515241","","Visual Measure",""
"Russia","2021","April","new_cases","179465","","Native",""
"Russia","2021","April","new_deaths","7718","","Native",""
"Russia","2021","April","% death","0.04300559997771153","","Visual Measure",""
"United Kingdom","2020","January","new_cases","2","","Native",""
"United Kingdom","2020","January","new_deaths",,"","Native",""
"United Kingdom","2020","January","% death","0","","Visual Measure",""
"United Kingdom","2020","February","new_cases","59","","Native",""
"United Kingdom","2020","February","new_deaths",,"","Native",""
"United Kingdom","2020","February","% death","0","","Visual Measure",""
"United Kingdom","2020","March","new_cases","38754","","Native",""
"United Kingdom","2020","March","new_deaths","2457","","Native",""
"United Kingdom","2020","March","% death","0.06339990710636322","","Visual Measure",""
"United Kingdom","2020","April","new_cases","139956","","Native",""
"United Kingdom","2020","April","new_deaths","24297","","Native",""
"United Kingdom","2020","April","% death","0.1736045614335934","","Visual Measure",""
"United Kingdom","2020","May","new_cases","78768","","Native",""
"United Kingdom","2020","May","new_deaths","10773","","Native",""
"United Kingdom","2020","May","% death","0.13676873857404023","","Visual Measure",""
"United Kingdom","2020","June","new_cases","27677","","Native",""
"United Kingdom","2020","June","new_deaths","2952","","Native",""
"United Kingdom","2020","June","% death","0.10665895870217147","","Visual Measure",""
"United Kingdom","2020","July","new_cases","19577","","Native",""
"United Kingdom","2020","July","new_deaths","795","","Native",""
"United Kingdom","2020","July","% death","0.04060887776472391","","Visual Measure",""
"United Kingdom","2020","August","new_cases","33290","","Native",""
"United Kingdom","2020","August","new_deaths","315","","Native",""
"United Kingdom","2020","August","% death","0.009462300991288676","","Visual Measure",""
"United Kingdom","2020","September","new_cases","117765","","Native",""
"United Kingdom","2020","September","new_deaths","644","","Native",""
"United Kingdom","2020","September","% death","0.005468517810894578","","Visual Measure",""
"United Kingdom","2020","October","new_cases","558947","","Native",""
"United Kingdom","2020","October","new_deaths","4412","","Native",""
"United Kingdom","2020","October","% death","0.007893413865715354","","Visual Measure",""
"United Kingdom","2020","November","new_cases","618941","","Native",""
"United Kingdom","2020","November","new_deaths","11900","","Native",""
"United Kingdom","2020","November","% death","0.01922638829872314","","Visual Measure",""
"United Kingdom","2020","December","new_cases","862499","","Native",""
"United Kingdom","2020","December","new_deaths","15077","","Native",""
"United Kingdom","2020","December","% death","0.01748059997750722","","Visual Measure",""
"United Kingdom","2021","January","new_cases","1331952","","Native",""
"United Kingdom","2021","January","new_deaths","32745","","Native",""
"United Kingdom","2021","January","% death","0.024584219251144186","","Visual Measure",""
"United Kingdom","2021","February","new_cases","360640","","Native",""
"United Kingdom","2021","February","new_deaths","16716","","Native",""
"United Kingdom","2021","February","% death","0.046350931677018634","","Visual Measure",""
"United Kingdom","2021","March","new_cases","171155","","Native",""
"United Kingdom","2021","March","new_deaths","3872","","Native",""
"United Kingdom","2021","March","% death","0.022622768835266278","","Visual Measure",""
"United Kingdom","2021","April","new_cases","51086","","Native",""
"United Kingdom","2021","April","new_deaths","622","","Native",""
"United Kingdom","2021","April","% death","0.012175547116626865","","Visual Measure",""
"Italy","2020","January","new_cases","2","","Native",""
"Italy","2020","January","new_deaths",,"","Native",""
"Italy","2020","January","% death","0","","Visual Measure",""
"Italy","2020","February","new_cases","1126","","Native",""
"Italy","2020","February","new_deaths","29","","Native",""
"Italy","2020","February","% death","0.02575488454706927","","Visual Measure",""
"Italy","2020","March","new_cases","104664","","Native",""
"Italy","2020","March","new_deaths","12399","","Native",""
"Italy","2020","March","% death","0.11846480165099747","","Visual Measure",""
"Italy","2020","April","new_cases","99671","","Native",""
"Italy","2020","April","new_deaths","15539","","Native",""
"Italy","2020","April","% death","0.15590292060880295","","Visual Measure",""
"Italy","2020","May","new_cases","27534","","Native",""
"Italy","2020","May","new_deaths","5448","","Native",""
"Italy","2020","May","% death","0.19786445848768794","","Visual Measure",""
"Italy","2020","June","new_cases","7581","","Native",""
"Italy","2020","June","new_deaths","1352","","Native",""
"Italy","2020","June","% death","0.1783405883128875","","Visual Measure",""
"Italy","2020","July","new_cases","6959","","Native",""
"Italy","2020","July","new_deaths","374","","Native",""
"Italy","2020","July","% death","0.05374335393016238","","Visual Measure",""
"Italy","2020","August","new_cases","21677","","Native",""
"Italy","2020","August","new_deaths","342","","Native",""
"Italy","2020","August","% death","0.015777090925866124","","Visual Measure",""
"Italy","2020","September","new_cases","45647","","Native",""
"Italy","2020","September","new_deaths","411","","Native",""
"Italy","2020","September","% death","0.009003877582316471","","Visual Measure",""
"Italy","2020","October","new_cases","364569","","Native",""
"Italy","2020","October","new_deaths","2724","","Native",""
"Italy","2020","October","% death","0.007471836607062038","","Visual Measure",""
"Italy","2020","November","new_cases","922124","","Native",""
"Italy","2020","November","new_deaths","16958","","Native",""
